SpeciesId,Species,Genus,Order,Family,Vore,Conservation,BodyWt,BrainWt,TotalSleep,Awake,NonDreaming,Dreaming,LifeSpan,Gestation,Predation,Exposure,Danger
1,African elephant,Loxodonta,Proboscidea,Elephantidae,herbi,vu,6654,5712,3.3,20.7,,,38.6,645,3,5,3
2,African giant pouched rat,Cricetomys,Rodentia,Nesomyidae,omni,lc,1,6.6,8.3,15.7,6.3,2,4.5,42,3,1,3
3,African striped mouse,Rhabdomys,Rodentia,Muridae,omni,lc,0.044,0,8.7,15.3,,,1,26,,,
4,Arctic fox,Vulpes,Carnivora,Canidae,carni,lc,3.38,44.5,12.5,11.5,,,14,60,1,1,1
5,Arctic ground squirrel,Spermophilus,Rodentia,Sciuridae,herbi,lc,0.92,5.7,16.6,7.4,,,9,25,5,2,3
6,Asian elephant,Elephas,Proboscidea,Elephantidae,herbi,en,2547,4603,3.9,20.1,2.1,1.8,69,624,3,5,4
7,Baboon,Papio,Primates,Cercopithecidae,omni,nt,25.235,180,9.4,14.6,9.1,0.7,27,180,4,4,4
8,Big brown bat,Eptesicus,Chiroptera,Vespertilionidae,insecti,lc,0.023,0.3,19.7,4.3,15.8,3.9,19,35,1,1,1
9,Bottle-nosed dolphin,Tursiops,Cetacea,Delphinidae,carni,lc,173.33,0,5.2,18.8,,,50,360,,,
10,Brazilian tapir,Tapirus,Perissodactyla,Tapiridae,herbi,vu,207.501,169,4.4,19.6,5.2,1,30.4,392,4,5,4
11,Caspian seal,Phoca,Carnivora,Phocidae,carni,vu,86,0,3.5,20.5,,0.4,42,330,,,
12,Cheetah,Acinonyx,Carnivora,Felidae,carni,lc,50,0,12.1,11.9,,,11,95,,,
13,Chimpanzee,Pan,Primates,Hominidae,omni,en,52.2,440,9.7,14.3,8.3,1.4,50,230,1,1,1
14,Chinchilla,Chinchilla,Rodentia,Chinchillidae,herbi,domesticated,0.42,6.4,12.5,11.5,11,1.5,7,112,5,4,4
15,Common porpoise,Phocoena,Cetacea,Phocoenidae,carni,vu,53.18,0,5.6,18.45,,,9,360,,,
16,Cotton rat,Sigmodon,Rodentia,Cricetidae,herbi,lc,0.148,1.18,11.3,12.7,,1.1,6,27,,,
17,Cow,Bos,Artiodactyla,Bovidae,herbi,domesticated,600,423,4,20,3.2,0.7,30,281,5,5,5
18,Deer mouse,Peromyscus,Rodentia,Cricetidae,herbi,lc,0.021,0,11.5,12.5,,,2,30,,,
19,Degu,Octodon,Rodentia,Octodontidae,herbi,lc,0.21,0,7.7,16.3,,0.9,7,90,,,
20,Desert hedgehog,Paraechinus,Erinaceomorpha,Erinaceidae,insecti,lc,0.55,2.4,10.3,13.7,7.6,2.7,3.5,35,2,1,2
21,Dog,Canis,Carnivora,Canidae,carni,domesticated,14,70,10.1,13.9,,2.9,12,62,,,
22,Domestic cat,Felis,Carnivora,Felidae,carni,domesticated,3.3,25.6,12.5,11.5,10.9,3.6,28,63,1,2,1
23,Donkey,Equus,Perissodactyla,Equidae,herbi,domesticated,187,419,3.1,20.9,,0.4,40,365,5,5,5
24,Eastern american chipmunk,Tamias,Rodentia,Sciuridae,herbi,lc,0.112,0,15.8,8.2,,,3,31,,,
25,Eastern american mole,Scalopus,Soricomorpha,Talpidae,insecti,lc,0.075,1.2,8.4,15.6,6.3,2.1,3.5,42,1,1,1
26,European hedgehog,Erinaceus,Erinaceomorpha,Erinaceidae,omni,lc,0.77,3.5,10.1,13.9,6.6,4.1,6,42,2,2,2
27,Galago,Galago,Primates,Galagidae,omni,lc,0.2,5,9.8,14.2,9.5,1.2,10.4,120,2,2,2
28,Genet,Genetta,Carnivora,Viverridae,carni,lc,2,17.5,6.3,17.7,4.8,1.3,34,74,1,2,1
29,Giant armadillo,Priodontes,Cingulata,Chlamyphoridae,insecti,en,60,81,18.1,5.9,12,6.1,7,16,1,1,1
30,Giraffe,Giraffa,Artiodactyla,Giraffidae,herbi,cd,899.995,680,1.9,22.1,,0.3,28,400,5,5,5
31,Goat,Capri,Artiodactyla,Bovidae,herbi,lc,33.5,115,5.3,18.7,3.3,0.5,20,148,5,5,5
32,Golden hamster,Mesocricetus,Rodentia,Cricetidae,herbi,en,0.12,1,14.3,9.7,11,3.4,3.9,16,3,1,2
33,Golden-mantled ground squirrel,Spermophilus,Rodentia,Sciuridae,herbi,lc,0.205,4,15.9,8.1,10.4,3.4,9,28,5,1,3
34,Gorilla,Gorilla,Primates,Hominidae,herbi,cr,207,406,12,12,,,39.3,252,1,4,1
35,Gray hyrax,Heterohyrax,Hyracoidea,Procaviidae,herbi,lc,2.625,12.27,6.3,17.7,,0.6,7.5,195,,,
36,Gray seal,Haliochoerus,Carnivora,Phocidae,carni,lc,85,325,6.2,17.8,4.7,1.5,41,310,1,3,1
37,Gray wolf,Canis,Carnivora,Canidae,carni,lc,36.33,119.5,13,11,,,16.2,63,1,1,1
38,Greater short-tailed shrew,Blarina,Soricomorpha,Soricidae,omni,lc,0.019,0.29,14.9,9.1,,2.3,3,22,,,
39,Guinea pig,Cavis,Rodentia,Caviidae,herbi,domesticated,0.728,5.5,9.4,14.6,7.4,0.8,7.6,68,5,3,4
40,Horse,Equus,Perissodactyla,Equidae,herbi,domesticated,521,655,2.9,21.1,2.1,0.8,46,336,5,5,5
41,House mouse,Mus,Rodentia,Muridae,herbi,nt,0.022,0.4,12.5,11.5,11.9,1.3,3.2,19,4,1,3
42,Human,Homo,Primates,Hominidae,omni,lc,62,1320,8,16,6.1,1.9,100,267,1,1,1
43,Jaguar,Panthera,Carnivora,Felidae,carni,nt,100,157,10.4,13.6,,,22.4,100,1,1,1
44,Laboratory rat,Rattus,Rodentia,Muridae,herbi,lc,0.32,1.9,13,11,10.6,2.6,4.7,21,3,1,3
45,Lesser short-tailed shrew,Cryptotis,Soricomorpha,Soricidae,omni,lc,0.005,0.14,9.1,14.9,7.7,1.4,2.6,21.5,5,2,4
46,Lion,Panthera,Carnivora,Felidae,carni,vu,161.499,0,13.5,10.5,,,13,110,,,
47,Little brown bat,Myotis,Chiroptera,Vespertilionidae,insecti,en,0.01,0.25,19.9,4.1,17.9,2,24,50,1,1,1
48,Long-nosed armadillo,Dasypus,Cingulata,Dasypodidae,carni,lc,3.5,10.8,17.4,6.6,14.3,3.1,6.5,120,2,1,1
49,Macaque,Macaca,Primates,Cercopithecidae,omni,en,6.8,179,10.1,13.9,8.4,1.2,29,164,2,3,2
50,Mole rat,Spalax,Rodentia,Spalacidae,insecti,lc,0.122,3,10.6,13.4,8.2,2.4,30,30,2,1,1
51,Mongolian gerbil,Meriones,Rodentia,Muridae,herbi,lc,0.053,0,14.2,9.8,,1.9,3.5,25,,,
52,Mongoose lemur,Lemur,Primates,Lemuridae,herbi,vu,1.67,0,9.5,14.5,,0.9,18,102,,,
53,Mountain beaver,Aplodontia,Rodentia,Aplodontiidae,herbi,nt,1.35,8.1,14.4,9.6,8.4,2.8,8,45,3,1,3
54,Musk shrew,Suncus,Soricomorpha,Soricidae,insecti,lc,0.048,0.33,12.8,11.2,10.8,2,2,30,4,1,3
55,North American Opossum,Didelphis,Didelphimorphia,Didelphidae,omni,lc,1.7,6.3,18,6,13.8,5.6,5,12,2,1,1
56,Northern fur seal,Callorhinus,Carnivora,Otariidae,carni,vu,20.49,0,8.7,15.3,,1.4,23,354,,,
57,Northern grasshopper mouse,Onychomys,Rodentia,Cricetidae,carni,lc,0.028,0,14.5,9.5,,3,31,40,,,
58,Owl monkey,Aotus,Primates,Aotidae,omni,lc,0.48,15.5,17,7,15.2,1.8,12,140,2,2,2
59,Patas monkey,Erythrocebus,Primates,Cercopithecidae,omni,lc,10,115,10.9,13.1,10,0.9,20.2,170,4,4,4
60,Phalanger,Phalanger,Diprotodontia,Phalangeridae,herbi,lc,1.62,11.4,13.7,10.3,11.9,1.8,13,17,2,1,2
61,Pig,Sus,Artiodactyla,Suidae,omni,domesticated,86.25,180,9.1,14.9,6.5,1.9,27,115,4,4,4
62,Pilot whale,Globicephalus,Cetacea,Delphinidae,carni,cd,800,0,2.7,21.35,,0.1,67,360,,,
63,Potoroo,Potorous,Diprotodontia,Potoroidae,herbi,nt,1.1,0,11.1,12.9,,1.5,4.5,38,,,
64,Potto,Perodicticus,Primates,Lorisidae,omni,lc,1.1,0,11,13,,,20,193,,,
65,Rabbit,Oryctolagus,Lagomorpha,Leporidae,herbi,domesticated,2.5,12.1,8.4,15.6,7.5,0.9,18,31,5,5,5
66,Raccoon,Procyon,Carnivora,Procyonidae,carni,lc,4.288,39.2,12.5,11.5,,,13.7,63,2,2,2
67,Red fox,Vulpes,Carnivora,"	Canidae",carni,lc,4.23,50.4,9.8,14.2,7.4,2.4,9.8,52,1,1,1
68,Rock hyrax,Procavia,Hyracoidea,Procaviidae,herbi,lc,3.6,21,5.4,18.6,4.9,0.5,6,225,3,2,3
69,Roe deer,Capreolus,Artiodactyla,Cervidae,herbi,lc,14.8,98.2,3,21,,,17,150,5,5,5
70,Round-tailed muskrat,Neofiber,Rodentia,Cricetidae,herbi,nt,0.266,0,14.6,9.4,,,3.5,28,,,
71,Sheep,Ovis,Artiodactyla,Bovidae,herbi,domesticated,55.5,175,3.8,20.2,3.2,0.6,20,151,5,5,5
72,Short-nosed echidna,Tachyglossus,Monotremata,Tachyglossidae,insecti,lc,4.5,25,8.6,15.4,8.6,,50,28,2,2,2
73,Slow loris,Nyctibeus,Primates,Lorisidae,carni,en,1.4,12.5,11,13,,,12.7,90,2,2,2
74,Squirrel monkey,Saimiri,Primates,Cebidae,omni,lc,0.743,20,9.6,14.4,,1.4,11,165,,,
75,Star-nosed mole,Condylura,Soricomorpha,Talpidae,omni,lc,0.06,1,10.3,13.7,8.1,2.2,3.5,45,3,1,2
76,Tenrec,Tenrec,Afrosoricida,Tenrecidae,omni,lc,0.9,2.6,15.6,8.4,11,2.3,4.5,60,2,1,2
77,Thick-tailed opposum,Lutreolina,Didelphimorphia,Didelphidae,carni,lc,0.37,0,19.4,4.6,,6.6,1.5,14,,,
78,Thirteen-lined ground squirrel,Spermophilus,Rodentia,Sciuridae,herbi,lc,0.101,4,13.8,10.2,,3.4,3.5,28,,,
79,Three-toed sloth,Bradypus,Pilosa,Bradypodidae,herbi,cr,3.85,0,14.4,9.6,,2.2,27.5,180,,,
80,Tiger,Panthera,Carnivora,Felidae,carni,en,162.564,0,15.8,8.2,,,10,103,,,
81,Tree hyrax,Dendrohyrax,Hyracoidea,Procaviidae,herbi,lc,2.95,12.3,5.3,18.7,4.9,0.5,7.5,200,3,1,3
82,Tree shrew,Tupaia,Scandentia,Ptilocercidae ,omni,lc,0.104,2.5,8.9,15.1,13.2,2.6,2.3,46,3,2,2
83,Vervet,Cercopithecus,Primates,Cercopithecidae,omni,lc,4.75,58,10,14,9.7,0.6,24,210,4,3,4
84,Vesper mouse,Calomys,Rodentia,Cricetidae,herbi,lc,0.045,0,7,17,,,1.5,24.5,,,
85,Vole,Microtus,Rodentia,Cricetidae,herbi,lc,0.035,0,12.8,11.2,,,0.5,22,,,
86,Water opossum,Chironectes,Didelphimorphia,Didelphidae,carni,lc,3.5,3.9,19.4,4.6,12.8,6.6,3,14,2,1,1
87,Western american chipmunk,Eutamias,Rodentia,Sciuridae,herbi,lc,0.071,0,14.9,9.1,,,7,31,,,
